,book,chapt,version,text,second,label
0,MAT,1,PCM,jesus christ wey dem born for david and abraham family naim story bi dis,if una dey vex make una nor sin and make day nor dark still meet una dey vex,1
1,MAT,1,PCM,abraham born isaak isaak kon born jakob,bikos sadusi pipol bilive sey pipol wey don die nor go wake again and dem nor bilive sey anytin like angel or spirit dey sef but farisee pipol bilive all dis tins so kworel kon start between dem and some oga for di law matter wey bi farisee pipol kon stand up dey oppoz di sadusi pipol sey wi nor si any bad tin wey dis man do,1
2,MAT,1,PCM,na jakob born judah and en brodas judah born perez and zera wey en mama bi tamar perez born hezron and hezron born ram ram na amminadab papa amminadab born nashon nashon kon born salmon salmon born boaz wey rahab bi en mama na boaz bi obed papa wey rut bi en mama obed kon born jesse jesse born david wey bi israel pipol king,bikos yu don obey my kommandment wey bi to get patient i go protet yu wen i won test evribody for dis world,1
3,MAT,1,PCM,david born solomon wey uraya wife bi en mama solomon born rehoboam rehoboam naim bi abijah papa and abijah kon born asa asa born jehoshafat jehoshafat kon born joram joram born uzzaya uzzaya born jotam jotam kon born ahaz wey born hezekaya hezekaya born manasseh manasseh naim bi amnon papa and na amon born josaya,na with dis mind i bi won take kom meet una before so dat wi go bless una again,1
4,MAT,1,PCM,josaya born jekonaya and en brodas for di time wey dem karry israel pipol go bi slave for babilon,afta jesus sidan e koll en twelf disciples kon tell dem if anybody among una won bi first e go bi di last and e go bi evribody savant,1
5,MAT,1,PCM,afta dem karry israel pipol go babilon jekonaya kon born shealtiel shealtiel kon bi zerubabel papa zerubabel born abiud abiud naim bi eliakim papa eliakim kon born azor azor born zadok zadok naim bi akim papa akim kon born eliud eliud born eleazar wey bi matan papa matan kon born jakob jakob born josef wey bi mary husband dis mary naim bi jesus christ mama,so make una and di kansol tell di kommanding offisa make e bring paul kom meet una like sey una one judge en kase again,1
6,MAT,1,PCM,so from abraham go rish david time na fourteen generashon dey and from david time go rish wen dem karry israel pipol go babilon na fourteen too and from dat time go rish wen dem born jesus christ na fourteen generashon e bi,di fire go test di work wey evribody dey do,1
7,MAT,1,PCM,dis na how dem take born jesus christ,i dey rite di same tin give una again bikos e go help una,1
8,MAT,1,PCM,wen mary en mama don ready to marry josef before dem bigin sleep togeda mary kon si sey e don get belle with holy spirit pawa,e take pita james and john wey bi zebedee two shidren with am,1
9,MAT,1,PCM,josef wey won marry am na pesin wey dey fear god wellwell and bikos e nor won disgrace am e kon tink for en mind sey e nor go marry mary again,i nor si any bad tin wey e do wey go make am die so i go give orda make dem flog am den i go free am,1
10,MAT,1,PCM,as e dey tink how e go take leave am god angel show ensef to am for dream kon tell am sey josef david pikin make yu nor fear to marry mary bikos di pikin wey dey en belle na holy spirit giam,di word wey i dey tell una so i nor dey tok am with my own pawa but na my papa wey dey inside mi dey do all dis mirakle thru mi,1
11,MAT,1,PCM,e go born boy and yu go koll am jesus bikos e go save en pipol from dia sin,i nor big rish to luz di rope wey dey en shoe naim go baptize una with holy spirit and fire,1
12,MAT,1,PCM,dis tins go happen as god profet tok si di woman wey neva sleep with man before go get belle and e go born boy and dem go koll am emmanuel wey mean god dey with us,bikos dis na wetin god don already kommand us sey i don choose una to bi lite for gentile pipol make una bring salvashon kom dis world,1
13,MAT,1,PCM,wen josef wakeup e do wetin god angel tell am,na dis bi di rizin why god go judge di world bikos lite don kom inside di world but pipol like to stay for darkness instead of lite bikos dem dey do tins wey nor good,1
14,MAT,1,PCM,so e kon marry mary but e nor sleep with am until mary born di pikin,den one among dem wey en name bi kleopas kon tell am na only yu bi strenja for jerusalem wey nor know di tins wey dey happen since,1
15,MAT,1,PCM,den e kon name am jesus,i nor get time to tok about gideon barak samson jeftah david samuel and di profets na faith dem take win kingdoms do wetin good for god eye kon get di tins wey god promise dem klose lion mout kwensh fire wey dey burn wellwell and eskape wen dem won kill dem with swod,1
16,MAT,2,PCM,afta dem born jesus for betlehem wey dey judea for di time wey herod bi king some wise men from east kon go jerusalem dey ask where di jew king wey dem just born,make god awa papa and jesus christ en pikin wey dey inside trut and love give us grace mesi and peace,1
17,MAT,2,PCM,wi si di star wey tok about am so wi kom woship am,as paul dey atens dey wait for dem e kon dey vex for en spirit bikos e si sey na soso juju full di town,1
18,MAT,2,PCM,wetin dem tok so vex king herod and jerusalem pipol,dis tishing dey good and e go help evribody,1
19,MAT,2,PCM,so di king gada all di priest oga dem and di pipol wey sabi di law kon ask dem where una tink sey dem go for born christ,herod kon dey vex wellwell for tyre and sidon pipol,1
20,MAT,2,PCM,dem kon ansa na for betlehem wey dey judea just as profet isaya rite sey betlehem pipol una wey small pass for all di pipol wey dey rule judah na from among una di pesin wey go lead all my pipol for israel go from kom,jesus kon tok to dem again for parabol sey god kingdom bi like wen one king do marriage for en son,1
21,MAT,2,PCM,den herod koll di wise men go korna make dem for tell am wen dem si di star,so wen jesus si en mama and john di disciple wey e love wellwell stand for der e kon tell en mama mama look dis na yor pikin,1
22,MAT,2,PCM,e kon sey make una go look for di pikin wellwell,so di ship front kon hook and e nor fit move again di back skata bikos of di way di wave dey blow am,1
23,MAT,2,PCM,wen una don si am make una kom tell mi so dat mi too gogo woship am,jesus kon dey get sense moremore as e dey grow so god and pipol like am wellwell,1
24,MAT,2,PCM,wen di king tok finish di wise men kon dey go and di star wey dem si before kon dey lead dem until e stop ontop di house where di pikin dey,den di disciples kon know sey e dey tell dem about john di baptist,1
25,MAT,2,PCM,wen dem si di star dem kon dey happy,so jesus tell dem i don do many good tins wey una si from my papa wish one make una won stone mi so,1
26,MAT,2,PCM,dem enter di house si di pikin with en mama kon knee down woship am,filippi pipol una know sey wen i komot from masidonia for di time wen i just start to prish di gospel na una bi di only church wey help mi and na only una dey follow mi share for my happiness and sofa,1
27,MAT,2,PCM,den dem open dia bag kon giam some gifts wey bi gold frankincense and myrrh,like dis too some pipol among una dey follow wetin nikolaitan pipol dey tish,1
28,MAT,2,PCM,bikos god warn dem for dream make dem nor go back go meet herod dem kon pass anoda road go dia house,una wey bi sina make una wosh una hand and una wey get doubol mind make una heart dey klean,1
29,MAT,2,PCM,wen di wise men don go god angel kon tell josef for dream get up karry di pikin and en mama run go egypt make una stay der until i go tell yu wetin una go do bikos herod won kill di pikin,if all music instrument get di same sound how una go take know di one wey bi trumpet or harp,1
30,MAT,2,PCM,dat same nite josef wakeup karry di pikin and en mama kon run go egypt,but nobody fit tok out bikos dem dey fear di jew oga dem,1
31,MAT,2,PCM,dem stay der till herod die,filip tell andru den dem kon go tell jesus,1
32,MAT,2,PCM,dis tin make wetin god profet tok happen sey i koll my pikin komot from egypt,jesus tosh di man eye again,1
33,MAT,2,PCM,wen herod si sey di wise men deceive am e vex wellwell so e send sojas make dem go kill all di boys wey don rish two years kom down bikos e don rish two years wen di wise men kom meet am sey dem si di star,as dem nor si road pass go meet jesus bikos pipol plenty der dem kon remove di zink ontop di house for where jesus sidan den dem kon smallsmall drop di bed wey di man liedan put till e rish groun,1
34,MAT,2,PCM,dis one make wetin profet jeremaya tok happen sey pipol hear kry and shaut for rama,but di remainin pipol sey leave am make wi si weda elijah go kom save am,1
35,MAT,2,PCM,rashel dey kry for en pikin dem wey don die and nortin wey pipol tok fit make en heart strong,dem go back go tell di rest pipol but di pipol nor still bilive dem,1
36,MAT,2,PCM,afta herod die god angel appear to josef for dream wen e still dey egypt kon tell am make yu get up karry di pikin and en mama go israel bikos di pesin wey won killam don die,wen dem divide evritin for di river into three e fall for one part,1
37,MAT,2,PCM,so e karry di pikin and en mama go israel back,di apostles and di eldas kon whole meetin to tok about di matter,1
